96916626,ICOM - Trunking/Network Controller - 96916626,Installation kit to install UCFR5000 into FR5200H/FR6200H,$0.00,['FR5200H - FR6200H Series'],Trunking/Network Controller,icom
8930091120,ICOM - Miscellaneous - 8930091120,Repeater support bracket (FR9010 & FR5200H),$0.00,"['FR5200H - FR6200H Series', 'FR9010 - FR9020 Series']",Miscellaneous,icom
AD100,ICOM - Chargers - AD100,Adapter cup to install in the BC119N or BC121N for the F50/60 & M88 radios,$27.00,['F50V/F60V Series (Discontinued)'],Chargers,icom
AD101,ICOM - Chargers - AD101,Adapter cup for the BC119N or BC121N for the BP210N & BP211 batteries,$28.00,['F11-F21 (Discontinued)'],Chargers,icom
AD106,ICOM - Chargers - AD106,Adapter cup for the BC119N/BC121N for the radios with the BP232N/H battery,$28.00,"['F3011 - F4011 Series', 'F3230D - F4230D Series', 'F3161 - F4161 / F3161D - F4161D Series', 'F3261D - F4261D Series', 'F3360D - F4360D Series', 'F3031S - F4031S Series (Discontinued)', 'F14/F24 - F33G/F43G - F43TR - F3021/F4021 (Discontinued)']",Chargers,icom
AD110,ICOM - Chargers - AD110,Adapter cup to install in the BC119N or BC121N for the BP253 or BP254 batteries,$28.00,"['F70/F80 - F70D/F80D Series', 'F9011 - F9021 Series']",Chargers,icom
AD118,ICOM - Miscellaneous - AD118,14-pin ACC adapter to use with Hirose plug accessories,$80.00,"['F3261D - F4261D Series', 'F3360D - F4360D Series', 'F52D/F62D Series', 'F3400D - F4400D Series', 'F9011 - F9021 Series', 'F7010 - F7020 Series']",Miscellaneous,icom
AD120,ICOM - Chargers - AD120,Adapter cup that fits into the BC197 02/03 for the BP264 NiMH battery,$23.00,['F3001 - F4001 Series'],Chargers,icom
AD121,ICOM - Chargers - AD121,Adapter cup that fits into the BC197 12/13 for the BP265 Li-ion battery,$23.00,"['F3001 - F4001 Series', 'F3210D - F4210D Series']",Chargers,icom
AD122,ICOM - Chargers - AD122,Adapter cup that fits into the BC197 22/23 for the BP232N/H batteries,$23.00,"['F3011 - F4011 Series', 'F3230D - F4230D Series', 'F3161 - F4161 / F3161D - F4161D Series', 'F3261D - F4261D Series', 'F3360D - F4360D Series', 'F3031S - F4031S Series (Discontinued)', 'F14/F24 - F33G/F43G - F43TR - F3021/F4021 (Discontinued)']",Chargers,icom
AD130,ICOM - Chargers - AD130,Adapter cup that fits into the BC214 for the F1000/D series,$23.00,"['F1000/S/T - F2000/S/T Series', 'F1000D - F2000D Series', 'F1100D - F2100D Series']",Chargers,icom
AD135,ICOM - Miscellaneous - AD135,3.5mm earphone jack adapter that plugs into a 14-pin connector,$42.00,['F52D/F62D Series'],Miscellaneous,icom
AD52,ICOM - Miscellaneous - AD52,Earphone adapter for the F3161/F4161/F30G/M88,$25.00,"['F3161 - F4161 / F3161D - F4161D Series', 'F30G - F40G Series (Discontinued)']",Miscellaneous,icom
AD92SMA,ICOM - Antennas - AD92SMA,Antenna connector adapter to connect a BNC-type antenna,$20.00,['F50V/F60V Series (Discontinued)'],Antennas,icom
AD94 11,ICOM - Chargers - AD94 11,Adapter cup for the BC119N or BC121N for the BP209N/BP210N batteries,$28.00,"['F11-F21 (Discontinued)', 'F30G - F40G Series (Discontinued)']",Chargers,icom
AD98FSC,ICOM - Antennas - AD98FSC,"Antenna connector adapter for ""J"" to ""BNC"" conversion",$22.00,"['F70/F80 - F70D/F80D Series', 'F11-F21 (Discontinued)', 'F30G - F40G Series (Discontinued)']",Antennas,icom
AH740,ICOM - Antennas - AH740,Relay-driven compact automatic tuning antenna 2.5MHz-29.999MHz,"$2,315.00",['F8101'],Antennas,icom
