Name,Description,Specs,Features,Category,Image,Images,Brochure,Brochures
F1000D - F2000D Series,IDAS™ Entry Level Portables,"<ul><li>Frequencies:136-174, 400-470, 450-512MHz</li><li>Output Power:5W (VHF); 4W (UHF)</li><li>Channels:16</li><li>Channel Spacing:12.5 / 6.25kHz</li><li>Mil Spec:810 C, D, E</li><li>Scan:Normal & priority</li><li>Weight:9.17oz (with BP-280)</li><li>Waterproof Rating:IP67 waterproof and dust tight</li></ul>","<ul><li>General Features:</li><li>IP67 waterproof and dust tight</li><li>Lone worker function</li><li>Channel announcement</li><li>BTL amplifier for loud audio output</li><li>DTMF autodial memoriesDigital Features:</li><li>IDAS™ conventional</li><li>IDAS™ single-site trunking</li><li>NXDN® Digital Air Interface</li><li>AMBE+2™ VOCODER</li><li>PTT ID (TX)</li><li>Individual/group calls</li><li>Radio check (RX)</li><li>Stun/Kill/Revive (RX)</li><li>Remote monitor (RX)</li><li>Emergency (TX)</li><li>Call alert (RX)</li><li>Digital voice scrambler (15-bit)</li><li>Status Call (Power ON/OFF status and GPS request)</li><li>Voting scan for multi-site conventional operation TX: Transmit, RX: Receive<br>SIGNALING (Analog Only)</li><li>CTCSS / DCS / DTMF encode & decode</li><li>2/5 Tone encode & decode</li><li>MDC1200: PTT ID & emergency call, radio check(RX) and stun/revive (RX</li><li></li><li>COMES WITH</li><li>Antenna (FA-SC55V, FA-SC57U or FA-SC72U)</li><li>Battery (BP-280)</li><li>Belt Clip (MB-133)</li><li>Owner’s manual</li><li>Warranty: 2 years</li></ul>",Portables,Yes,"['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1000D+-+F2000D+Series/F2000D.jpg','https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1000D+-+F2000D+Series/F2000S.jpg','https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1000D+-+F2000D+Series/F2000T.jpg']",Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1000D+-+F2000D+Series/F1000.pdf'
F1000ST - F2000ST Series,Entry Level Analog Portables,"<ul><li>Frequencies:136-174, 400-470, 450-512MHz</li><li>Output Power:5W (VHF); 4W (UHF)</li><li>Channels:16 or 128 (S/T)</li><li>Channel Spacing:12.5kHz</li><li>Mil Spec:MIL-STD 810 C,D,E,F,G,</li><li>Weight:8.47oz (with BP-279)</li><li>Waterproof Rating:IP67 dust-tight and waterproof protection</li><li>Versions:With full keypad</li><li>With simple keypad</li><li>Without LCD and front keypad</li></ul>","<ul><li>Enhanced emergency with built-in motion sensor</li><li>Selective calling, quiet sand-by and more</li><li>Channel announcement</li><li>Built-in inversion voice scrambler</li><li>8 DTMF autodial memories</li><li>“Shift key” function increases number of programmable key assignments</li><li>Surveillance function</li><li>Escalating alarm</li><li>SIGNALING</li><li>CTCSS / DTCS encode & decode</li><li>Built-In 2-Tone, 5-Tone</li><li>MDC1200 16 channel version</li><li>PTT ID (transmit only)</li><li>Emergency Call (transmit only)MDC1200 S/T version</li><li>PTT ID (Tx/Rx)</li><li>Emergency (Tx/Rx)</li><li>Radio check (Rx)</li><li>Stun/revive (Rx)</li><li>Transmit status message</li><li>100 alias table<br>COMES WITH</li><li>Antenna (FA-SC55V, FA-SC57U or FA-SC72U)</li><li>Battery pack (BP-279)</li><li>Belt Clip (MB-133)</li><li>Charger (BC-213 on some versions)</li><li>Warranty: 2 years</li></ul>",Portables,Yes,"['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1000ST+-+F2000ST+Series/F1000T.jpg','https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1000D+-+F2000D+Series/F2000D.jpg']",Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1000ST+-+F2000ST+Series/F1000.pdf'
F1100D - F2100D Series,Entry Level IDAS™ Portables,"<ul><li>Frequencies:136-174, 400-470MHz</li><li>Output Power:5W (VHF); 4W (UHF)</li><li>Channels:16 or 128 (S/T)</li><li>Channel Spacing:12.5 / 6.25 kHz</li><li>Mil Spec:MIL-STD 810 C,D,E,F,G,</li><li>Weight:9.2oz (with BP-280)</li><li>Waterproof Rating:IP67 dust-tight and waterproof protection</li><li>Versions:With full keypad</li><li>With simple keypad</li><li>Without LCD and front keypad</li></ul>","<ul><li>AquaQuake™</li><li>16-position rotary selector and ON/OFF volume knob</li><li>DTMF audio dial</li><li>“Shift key” function increases number of programmable key assignments</li><li>Three color LED</li><li>Channel announcement</li><li>Man down</li><li>Motion & stationary detection</li><li>Lone worker function</li><li>Surveillance function</li><li>16-code inversion analog scrambler</li><li>IDAS <ul><li>IDAS™ conventional</li><li>IDAS multi-site conventional over IP network</li><li>IDAS™ type D-single-site trunking</li><li>Analog/digital mixed mode operation</li><li>AMBE+2™ VOCODER</li><li>Over-the-Air Alias (OAA) updates the call list over the air(LCD versions)</li><li>Individual, group and all call</li><li>Status all and polling</li><li>Short data messages (LCD versions)</li><li>Call alert<br>COMES WITH</li><li>Antenna (FA-SC55V or FA-SC57U)</li><li>Battery pack (BP-280)</li><li>Belt Clip (MB-133)</li><li>Warranty: 2 years</li><li></li><li>SIGNALING (Analog Only)</li><li>CTCSS / DTCS</li><li>2/5 Tone</li><li>MDC1200: PTT ID transmission</li></ul>",Portables,Yes,"['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1100D+-+F2100D+Series/F1100D(2).jpg','https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1100D+-+F2100D+Series/F1100D.jpg','https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1100D+-+F2100D+Series/F2100D(2).jpg','https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1100D+-+F2100D+Series/F2100D.jpg']",Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F1100D+-+F2100D+Series/F1100D.pdf'
F3001 - F4001 Series,Entry Level Analog Portables,"<ul><li>Frequencies:136-174, 400-470, 450-512MHz</li><li>Output Power:5W (VHF); 4W (UHF)</li><li>Channels:16</li><li>Channel Spacing:12.5kHz</li><li>Mil Spec:810 C, D, E</li><li>Scan:Normal & priority</li><li>Weight:11.6oz (with BP-265)</li><li>Waterproof Rating:IP54 dust and splash proof</li></ul>","<ul><li>Low battery alert with blinking LED & beep</li><li>3 Buttons</li><li>Talk around function</li><li>3-color LED (red, green & orange)</li><li>Time out timer</li><li>2-step power save</li><li>Lone worker function</li><li>SIGNALING</li><li>CTCSS / DTCS Encode/Decode</li><li>2-Tone, 5-Tone</li><li>MDC1200</li><li>PTT ID</li><li>Emergency Status<br>COMES WITH</li><li>Charger (BC-193)</li><li>Antenna (FA-SC55V or FA-SC57U)</li><li>Battery (BP-265)</li><li>Belt Clip (MB-124)</li><li>Owner’s manual</li><li>Warranty: 2 years</li></ul>",Portables,Yes,['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3001+-+F4001+Series/F3001.jpg'],Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3001+-+F4001+Series/F3001_F4001.pdf'
F3011 - F4011 Series,Entry Level Analog Portables,"<ul><li>Frequencies:136-174, 400-470, 450-512MHz</li><li>Output Power:5W (VHF); 4W (UHF)</li><li>Channels:16</li><li>Channel Spacing:12.5kHz</li><li>Mil Spec:810 C, D, E</li><li>Scan:Normal & priority</li><li>Weight:10.6oz (with BP-232H)</li><li>Waterproof Rating:IP54 dust and splash proof</li></ul></li></ul>","<ul><li>Low battery alert with blinking LED & beep</li><li>3 Buttons</li><li>Talk around function</li><li>3-color LED (red, green & orange)</li><li>Time out timer</li><li>2-step power save</li><li>SIGNALING</li><li>CTCSS / DTCS encode & decode<br>COMES WITH</li><li>Antenna (FA-SC55V or FA-SC57U)</li><li>Battery (BP-232H)</li><li>Belt Clip (MB-94)</li><li>Rapid Charger (BC-160)</li><li>Owner’s manual</li><li>Warranty: 2 years</li></ul>",Portables,Yes,['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3011+-+F4011+Series/F3011.jpg'],Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3011+-+F4011+Series/F3011_F4011.pdf'
F3161 - F4161 & F3161D - F4161D Series,"Analog, LTR®, Digital Portables","<ul><li>Frequencies:136-174, 400-470, 450-512MHz</li><li>Output Power:5W</li><li>Channels:512 / 128 zones</li><li>Channel Spacing:12.5 kHz; 6.25kHz (D versions)</li><li>LCD Display:Full dot-matrix</li><li>Programmable Keys:8</li><li>Mil Spec:810 C, D, E, F</li><li>Scan:Normal & priority</li><li>Weight:12oz (with BP-232H)</li><li>Waterproof Rating:IP55 dust and spraying water protection</li><li>Version:Analog and digital upgradable</li><li>Analog and digital ready</li><li>“D” Signifies IDAS Ready</li></ul>","<ul><li>General Features</li><li>Basic LTR® / conventional analog</li><li>Lone worker function</li><li>2 step reduced power setting</li><li>Busy, repeater lockout function</li><li>Escalating alarm</li><li>Surveillance function (temp. turns LEDs off)Digital Features</li><li>IDAS™ conventionalIDAS multi-site conventionalIDAS multi-site and single-site type-D trunking Voting mode scanning</li><li>Digital/analog mixed mode</li><li>NXDN® Digital Air Interface</li><li>AMBE+2™ VOCODER</li><li>Short & long data messages</li><li>64 Radio Access Numbers (RAN)</li><li>Individual & group selective call</li><li>Strongest site search</li><li>Firmware upgrade over IP</li><li>Configuration over IP<br>COMES WITH</li><li>Antenna (FA-SC55V or FA-SC57U)</li><li>Battery (BP-232H)</li><li>Belt clip (MB-94)</li><li>Owner’s manual</li><li>Warranty: 3 years</li><li>SIGNALING</li><li>MDC1200 (analog & LTR)</li><li>CTCSS/DCS encode & decode</li><li>DTMF decode</li><li>2/5 tone encode/decode</li><li>PassPort® (F4161S 56 only)</li><li>ENCRYPTION</li><li>Inversion scrambler built-in</li><li>Simple Inversion: UT-109R 32 Codes</li><li>Rolling Code: UT-110R 1020 Codes</li></ul>",Portables,Yes,"['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3161+-+F4161+&+F3161D+-+F4161D+Series/F3161S.jpg','https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3161+-+F4161+&+F3161D+-+F4161D+Series/F3161T.jpg']",Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3161+-+F4161+%26+F3161D+-+F4161D+Series/F3161.pdf'
F3201DEX - F4201DEX Series,IECEx/ATEX Intrinsically Safe IDAS VHF/UHF Portables,"<ul><li>Frequencies:136-174, 400-470</li><li>Output Power:1W</li><li>Channels:16</li><li>Channel Spacing:12.5 / 6.25kHz</li><li>Mil Spec:801 C, D, E, F, G</li><li>Scan:Normal & Priority</li><li>Weight:1.03lbs</li><li>Waterproof Rating:IP67 dust-tight and water proof</li></ul>",<ul><li>General Features:</li><li>IEC CertificationsMining : Ex ib I Mb</li><li>Gas : Ex ib IIC T4 Gb</li><li>Dust : Ex ib IIIC T110°C Db</li><li>ATEX CertificationsMining : I M2 Ex ib I Mb</li><li>Gas : II 2G Ex ib IIC T4 Gb</li><li>Dust : II 2D Ex ib IIIC T110°C Db</li><li>Channel announcementDTMF autodial</li><li>Three programmable buttons</li><li>Low electrical resistivity body</li><li>Man down & lone worker (analog only)</li><li>Digital Features:</li><li>IDAS™ conventionalIDAS™ single-site type-D trunking</li><li>NXDN® Digital Air Interface<br>SIGNALING</li><li>CTCSS / DCS / DTMF encode & decode (analog)</li><li>2/5 Tone encode & decode (analog)</li><li>MDC1200 PTT ID & Emergency</li><li></li><li>COMES WITH</li><li>Antenna (FA-SC55V or FA-SC57U)</li><li>Battery (BP-227EX)</li><li>Belt Clip (MB-94EX)</li><li>Charger (BC-212EX)</li><li>Owner’s Manual</li><li>Warranty: 2 years</li></ul>,Portables,Yes,['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3201DEX+-+F4201DEX+Series/F3201DEX.jpg'],Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3201DEX+-+F4201DEX+Series/F3201DEX_F4201DEX.pdf'
F3210D - F4210D Series,Entry Level IDAS™ Trunking Portables,"<ul><li>Frequencies:136-174, 400-470, 450-512</li><li>Output Power:5W (VHF);</li><li>4W (UHF)</li><li>Channels:16</li><li>Channel Spacing:15 / 12.5 / 6.25kHz</li><li>Mil Spec:810 C, D, E and -F</li><li>Scan:Priority/Vote/Roaming scan</li><li>Weight:11.3oz (with MB-124, BP-265)</li><li>Waterproof Rating:IP54 dust and splash proof</li></ul>",<ul><li>General Features:</li><li>800mW loud audio output from the large 45mm speaker</li><li>Channel announcement</li><li>Internal VOX capabilityLow battery alert</li><li>Time out timer</li><li>Lone worker function</li><li>2-step power save</li><li>Talk around function</li><li>Surveillance functionDigital Features:</li><li>IDAS™ conventionalIDAS multi-site and single-site trunking and IDAS multi-site conventionalPTT ID (TX)</li><li>Block decode</li><li>Radio check (RX)</li><li>Call alert</li><li>Emergency</li><li>GPS (TX with HM-171GP)</li><li>Individual/Group call</li><li>RAN (Radio Access Number)</li><li>Stun/kill/revive (RX)</li><li>Remote monitor (RX)</li><li>Digital voice scrambler</li><li>ATB (All Trunks Busy) ring back<br>SIGNALING</li><li>CTCSS / DTCS encode & decode (analog only)</li><li>COMES WITH</li><li>Antenna (FA-SC55V or FA-SC57U)</li><li>Battery (BP-265)</li><li>Charger (BC-193)</li><li>Belt Clip (MB-124)</li><li>Owner’s manual</li><li>Warranty: 2 years</li></ul>,Portables,Yes,['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3210D+-+F4210D+Series/F3210D.jpg'],Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3210D+-+F4210D+Series/F3210D_F4210D.pdf'
F3230D - F4230D Series,IDAS Trunking Portables,"<ul><li>Frequencies:136-174, 400-470, 450-512</li><li>Output Power:5W (VHF);</li><li>4W (UHF)</li><li>Channels:128 channels / 8 zones</li><li>Channel Spacing:12.5 / 6.25kHz</li><li>LCD Display:8-character alphanumeric LCD</li><li>Mil Spec:MIL 810G</li><li>Also meets equivalent MIL-STD-810C, -D, -E and -F</li><li>Scan:Roaming / Voting scan</li><li>Weight:12oz (W/BP-232WP)</li><li>Waterproof Rating:IP67 dust-tight and water proof</li></ul>","<ul><li>General Features:</li><li>Channel announcementLow battery alert</li><li>2-step power save</li><li>Time out timer</li><li>BTL amp with 1000mW audio output</li><li>Lone worker functionDigital Features:</li><li>IDAS™ conventionalIDAS multi-site and single-site trunking and IDAS multi-site conventional</li><li>Up to 500 individual and up to 500 group ID aliases (Each for single-site/multi-site/conventional)PTT ID and ANI</li><li>SDM (Short Data Message)</li><li>Status</li><li>RAN (Radio Access Number)</li><li>Radio check (RX)</li><li>Call alert</li><li>Remote monitor (RX)</li><li>Digital voice scrambler</li><li>ATB (All Trunks Busy) ring back<br>SIGNALING</li><li>CTCSS / DTCS encode & decode (analog only)</li><li>COMES WITH</li><li>Antenna (FA-SC55V, FA-SC57U or FA-SC72U)</li><li>Battery (BP-232WP)</li><li>Belt Clip (MB-94R)</li><li>Charger (BC-160)</li><li>Owner’s manual</li><li>Warranty: 3 years</li></ul>",Portables,Yes,['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3230D+-+F4230D+Series/F3230D.jpg'],Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3230D+-+F4230D+Series/F3230D_F4230D.pdf'
F3261D - F4261D Series,"Waterproof Analog, LTR®, & IDAS Digital Portables","<ul><li>Frequencies:136-174, 400-470, 450-512MHz</li><li>Output Power:5W</li><li>Channels:512 / 128 zones</li><li>Channel Spacing:12.5 & 6.25kHz</li><li>Mil Spec:810 C, D, E</li><li>Scan:Normal & priority</li><li>Weight:14.1oz (with BP-232WP)</li><li>Waterproof Rating:IP67 submersible & dust protection</li></ul>","<ul><li>General Features</li><li>Basic LTR® / Conventional / IDAS</li><li>GPS built-in</li><li>Lone worker function</li><li>2 step reduced power setting</li><li>Busy, repeater lockout function</li><li>Escalating alarm</li><li>Surveillance function temporarily turns off the LED backlight and beep sound</li><li>Detects both analog & IDAS conventional signals and automatically selects the transmission mode to reply to received callDigital Features</li><li>IDAS™ conventionalIDAS multi-site and single-site trunking and IDAS multi-site conventionalVoting mode scanning</li><li>NXDN® Digital Air Interface</li><li>AMBE+2™ VOCODER</li><li>Short & long data messages</li><li>64 Radio Access Numbers (RAN)</li><li>Individual & group selective call</li><li>Strongest site search<br>COMES WITH</li><li>Antenna (FA-SC55V or FA-SC57U)</li><li>Battery (BP-232WP)</li><li>Belt clip (MB-94R)</li><li>Owner’s manual</li><li>Warranty: 3 years</li><li>SIGNALING</li><li>MDC1200 (analog & LTR)</li><li>CTCSS/DCS encode & decode</li><li>DTMF decode</li><li>2/5 tone encode & decode</li><li>ENCRYPTION</li><li>Inversion scrambler built-in. Digital voice scrambler provides 15-bit key (about 32K codes)</li></ul>",Portables,Yes,"['https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3261D+-+F4261D+Series/F3261DS.jpg','https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3261D+-+F4261D+Series/F3261DT.jpg']",Yes,https://icom-radio-images.s3.us-east-2.amazonaws.com/Portables/F3261D+-+F4261D+Series/F3261D_F4261D.pdf'
